Date,Open,High,Low,Close,Adj Close,Volume
2021-06-23,91.699997,92.080002,90.989998,91.000000,83.533562,189100
2021-06-24,92.760002,93.459999,92.639999,93.120003,85.479622,75100
2021-06-25,93.980003,94.110001,93.849998,94.000000,86.287415,28000
2021-06-28,94.620003,94.699997,93.279999,93.379997,85.718285,232200
2021-06-29,92.019997,92.019997,91.589996,91.919998,84.378075,45400
2021-06-30,92.230003,93.080002,91.980003,92.000000,84.451508,166900
2021-07-01,93.080002,93.080002,92.220001,92.550003,87.769791,55800
2021-07-02,93.139999,93.360001,92.870003,93.230003,88.414673,30700
2021-07-06,93.820000,93.820000,91.680000,91.730003,86.992142,52900
2021-07-07,91.459999,91.529999,90.220001,90.790001,86.100693,21900
2021-07-08,88.080002,89.610001,88.050003,89.279999,84.668686,34000
2021-07-09,89.680000,89.680000,89.320000,89.559998,84.934219,35900
2021-07-12,88.410004,88.839996,88.190002,88.699997,84.118637,33100
2021-07-13,88.940002,89.699997,88.839996,89.169998,84.564362,75300
2021-07-14,90.510002,90.510002,88.150002,88.660004,84.080711,20700
2021-07-15,86.580002,86.830002,86.309998,86.449997,81.984848,32000
2021-07-16,86.279999,86.379997,85.239998,85.970001,81.529648,27500
2021-07-19,83.970001,84.300003,83.129997,83.320000,79.016518,38400
2021-07-20,83.370003,84.919998,83.040001,84.800003,80.420082,64600
2021-07-21,85.669998,86.570000,85.669998,86.410004,81.946922,43500
2021-07-22,87.139999,87.580002,86.639999,87.309998,82.800430,63700
2021-07-23,87.379997,87.379997,86.779999,87.000000,82.506447,97800
2021-07-26,85.940002,86.699997,85.930000,86.699997,82.221939,18500
2021-07-27,85.820000,85.989998,85.410004,85.910004,81.472748,23300
2021-07-28,86.489998,87.190002,86.309998,87.150002,82.648697,43300
2021-07-29,87.129997,87.860001,87.129997,87.849998,83.312538,51300
2021-07-30,86.360001,86.419998,85.589996,85.889999,81.453773,30900
2021-08-02,86.849998,87.199997,86.209999,86.250000,81.795181,33100
2021-08-03,85.419998,86.059998,84.809998,86.059998,81.614998,30600
2021-08-04,85.519997,85.919998,85.040001,85.099998,80.704582,29000
2021-08-05,85.459999,86.250000,85.239998,86.000000,81.558098,62200
2021-08-06,85.459999,85.459999,84.790001,84.849998,80.467491,23900
2021-08-09,85.209999,85.699997,85.070000,85.500000,81.083923,48800
2021-08-10,86.309998,86.900002,86.230003,86.900002,82.411613,25100
2021-08-11,87.620003,88.000000,87.230003,87.570000,83.047005,58100
2021-08-12,88.400002,88.400002,88.050003,88.150002,83.597054,19400
2021-08-13,88.019997,88.029999,87.660004,87.769997,83.236671,22000
2021-08-16,88.059998,88.730003,87.480003,88.650002,84.071228,16800
2021-08-17,89.160004,90.000000,88.889999,89.199997,84.592812,29300
2021-08-18,88.470001,88.940002,87.540001,87.540001,83.018555,43300
2021-08-19,85.269997,85.720001,84.830002,85.480003,81.064957,45900
2021-08-20,84.389999,85.470001,84.389999,85.470001,81.055473,147400
2021-08-23,86.419998,87.550003,86.419998,87.379997,82.866814,116500
2021-08-24,86.839996,88.040001,86.820000,87.949997,83.407379,111900
2021-08-25,86.820000,87.459999,86.620003,87.099998,82.601280,112500
2021-08-26,85.489998,85.779999,84.779999,85.260002,80.856316,95600
2021-08-27,85.540001,87.639999,85.540001,87.589996,83.065971,40200
2021-08-30,87.410004,87.959999,87.080002,87.400002,82.885788,37200
2021-08-31,85.620003,85.750000,84.529999,85.550003,81.131340,116600
2021-09-01,86.169998,87.169998,86.169998,86.470001,82.003822,93300
2021-09-02,87.320000,88.220001,87.059998,87.160004,82.658188,40400
2021-09-03,86.900002,87.410004,86.879997,87.129997,82.629730,13700
2021-09-07,85.699997,85.900002,85.309998,85.620003,81.197723,28800
2021-09-08,86.459999,86.839996,86.089996,86.430000,81.965889,43900
2021-09-09,86.139999,86.589996,85.849998,85.860001,81.425331,33400
2021-09-10,86.370003,86.529999,85.900002,86.029999,81.586548,53200
2021-09-13,86.820000,88.190002,86.820000,88.190002,83.634987,14100
2021-09-14,90.000000,90.750000,89.690002,89.830002,85.190277,26100
2021-09-15,90.500000,93.169998,90.500000,92.889999,88.092224,32600
2021-09-16,92.559998,92.559998,91.190002,91.830002,87.086975,120300
2021-09-17,90.699997,91.260002,90.480003,90.690002,86.005859,181400
2021-09-20,89.099998,89.610001,88.639999,89.110001,84.507462,33300
2021-09-21,90.639999,90.639999,89.580002,90.510002,85.835159,17400
2021-09-22,91.620003,92.370003,91.559998,92.000000,87.248199,46100
2021-09-23,92.589996,93.330002,92.589996,93.150002,88.338799,25300
2021-09-24,92.959999,93.790001,92.739998,93.669998,88.831940,24100
2021-09-27,95.820000,96.419998,95.720001,96.059998,91.098495,75300
2021-09-28,97.800003,97.820000,95.160004,96.330002,91.354553,54400
2021-09-29,95.040001,96.500000,95.019997,95.760002,90.813995,154500
2021-09-30,94.559998,95.820000,94.239998,94.660004,89.770813,104200
2021-10-01,95.500000,95.919998,94.870003,95.919998,90.965729,82700
2021-10-04,97.660004,98.760002,96.769997,98.110001,93.042618,80400
2021-10-05,101.129997,101.949997,100.300003,101.089996,95.868690,179200
2021-10-06,98.199997,98.470001,96.769997,98.169998,93.099510,100600
2021-10-07,99.199997,99.879997,98.650002,98.900002,93.791809,122400
2021-10-08,100.930000,101.410004,100.349998,100.550003,95.356590,24400
2021-10-11,101.180000,101.889999,100.820000,101.169998,95.944565,26000
2021-10-12,101.570000,101.980003,101.150002,101.540001,96.295456,16000
2021-10-13,99.199997,100.849998,98.980003,100.589996,95.394516,22800
2021-10-14,101.790001,101.870003,100.250000,100.599998,95.404007,18900
2021-10-15,101.550003,102.959999,101.550003,102.650002,97.348122,31000
2021-10-18,102.669998,103.180000,102.540001,102.760002,97.452446,35400
